广东省乡镇机关2025年考试录用公务员职位表,,,,,,,,,,,,,,
"配套
措施","1.广州、深圳、珠海、佛山、惠州、东莞、中山、江门、肇庆等9市新录用乡镇公务员在乡镇机关最低服务年限为5年；
2.汕头、韶关、河源、梅州、汕尾、阳江、湛江、茂名、清远、潮州、揭阳、云浮等12市新录用乡镇公务员在职位所在县（市、区）的乡镇机关最低服务年限为5年。",,,,,,,,,,,,,
招考单位,单位代码,招考职位,职位代码,职位简介,职位类型,录用人数,学历,学位,"研究生专业
名称及代码","本科专业
名称及代码","大专专业
名称及代码",是否限应届毕业生报考,其他要求,考区
广州市海珠区人民政府新港街道办事处,6010102,四级主任科员以下,60101022559002 ,从事街道综合管理工作,综合管理类职位,1,本科以上,学士、硕士,不限,不限,,2025届高校毕业生,,广州
广州市海珠区人民政府昌岗街道办事处,6010103,一级行政执法员,60101032560001 ,从事基层一线执法，实行24小时值班制，需夜间外出执勤工作,行政执法类职位,1,本科,学士,,"建筑学(B081001),消防工程(B083102)",,否,,广州
广州市海珠区人民政府滨江街道办事处,6010104,一级科员,60101042559001 ,从事基层业务管理相关工作,综合管理类职位,1,本科,学士,,"公安管理学(B030612),土木工程(B081101),安全工程(B083001),消防工程(B083102)",,否,,广州
广州市海珠区人民政府素社街道办事处,6010105,经济发展办公室一级科员,60101052559001 ,从事招商引资、经济统计等经济发展相关工作,综合管理类职位,1,本科,学士,,"经济学(B020101),经济统计学(B020102),数字经济(B020107)",,2025届高校毕业生,,广州
广州市海珠区人民政府江南中街道办事处,6010106,综合行政执法队一级主办以下,60101062560001 ,从事基层一线执法工作，实行24小时值班制，需夜间外出执勤工作,行政执法类职位,1,本科以上,学士以上,"安全科学与工程(A0837),公安技术(A0838)","安全科学与工程类(B0830),公安技术类(B0831)",,否,,广州
广州市海珠区人民政府江南中街道办事处,6010106,综合行政执法队一级主办以下,60101062560002 ,从事基层一线执法工作，实行24小时值班制，需夜间外出执勤工作,行政执法类职位,1,本科以上,学士以上,"建筑学(A0813),土木工程(A0814)","建筑类(B0810),土木类(B0811)",,否,,广州
广州市海珠区人民政府海幢街道办事处,6010107,一级科员,60101072559001 ,从事街道法制建设等工作,综合管理类职位,1,本科,学士,,法学类(B0301),,否,通过法律职业资格考试,广州
广州市海珠区人民政府南华西街道办事处,6010108,一级科员,60101082559001 ,从事街道基层工作,综合管理类职位,1,本科,学士,,不限,,否,,广州
广州市海珠区人民政府南华西街道办事处,6010108,综合行政执法队一级行政执法员,60101082560001 ,"从事基层一线执法工作;实行24小时值班制，需夜间外出执勤,适合男性",行政执法类职位,1,本科,学士,,"法学(B030101),消防工程(B083102)",,否,法学专业报考者须通过法律职业资格考试,广州
广州市海珠区人民政府沙园街道办事处,6010110,综合行政执法队四级主办以下,60101102560001 ,"从事基层一线综合行政执法工作;实行24小时值班制，需夜间外出执勤,适合男性",行政执法类职位,1,本科以上,学士、硕士,"机械工程(A0802),仪器科学与技术(A0804),动力工程及工程热物理(A0807),电气工程(A0808),控制科学与工程(A0811),建筑学(A0813),土木工程(A0814),水利工程(A0815),测绘科学与技术(A0816),石油与天然气工程(A0820),交通运输工程(A0823),航空宇航科学与技术(A0825),核科学与技术(A0827),城乡规划学(A0833),风景园林学(A0834),安全科学与工程(A0837),控制工程硕士（专业硕士）(A084006),仪器仪表工程硕士（专业硕士）(A084007),安全工程硕士（专业硕士）(A084202),测绘工程硕士（专业硕士）(A084204),石油与天然气工程硕士（专业硕士）(A084206),能源动力(A0843),土木工程硕士（专业硕士）(A084401),水利工程硕士（专业硕士）(A084402),农田水土工程硕士（专业硕士）(A084404),市政工程硕士（专业硕士）(A084405),人工环境工程硕士（专业硕士）(A084406),机械(A0846),交通运输(A0847)","人文地理与城乡规划(B070503),机械类(B0802),仪器类(B0803),能源动力类(B0805),电气类(B0806),自动化类(B0808),建筑类(B0810),土木类(B0811),水利类(B0812),测绘类(B0813),能源化学工程(B081404),石油工程(B081602),油气储运工程(B081604),海洋油气工程(B081606),交通运输类(B0819),航空航天类(B0821),核工程类(B0823),安全科学与工程类(B0830),会计学(B120203),财务管理(B120204),审计学(B120207),工业工程类(B1207),环境设计(B130503)",,否,,广州
广州市海珠区人民政府凤阳街道办事处,6010112,综合行政执法队一级行政执法员,60101122560001 ,"从事基层一线执法工作，实行24小时值班制工作;需夜间外出执勤,适合男性",行政执法类职位,1,本科,学士,,"机械工程(B080201),土木、水利与交通工程(B081110),安全工程(B083001)",,应届毕业生,,广州
广州市海珠区人民政府瑞宝街道办事处,6010113,经济发展办公室四级主任科员以下,60101132559001 ,从事辖内企业服务、文字材料等工作,综合管理类职位,1,本科以上,学士、硕士,"国民经济学(A020201),产业经济学(A020205)","经济学(B020101),经济统计学(B020102),数字经济(B020107)",,否,,广州
广州市海珠区人民政府瑞宝街道办事处,6010113,综合行政执法队四级主办以下,60101132560001 ,从事基层一线执法工作，实行24小时值班制，需要夜间外出执勤工作,行政执法类职位,1,本科以上,学士、硕士,"公安学(A0306),电气工程(A0808),城市规划与设计(含∶风景园林规划与设计)(A081303),市政工程(A081404),交通运输工程(A0823)","公安学类(B0306),电气类(B0806),建筑学(B081001),城乡规划(B081002),土木工程(B081101),交通运输类(B0819),公安技术类(B0831)",,否,,广州
广州市海珠区人民政府江海街道办事处,6010114,综合行政执法队一级行政执法员,60101142560001 ,从事基层一线执法工作，实行24小时值班制，需夜间外出执勤工作,行政执法类职位,2,本科,学士,,"电气类(B0806),安全科学与工程类(B0830),消防工程(B083102),抢险救援指挥与技术(B083106)",,否,,广州
广州市海珠区人民政府南洲街道办事处,6010115,综合行政执法队四级主办以下,60101152560001 ,从事基层一线综合行政执法工作，实行24小时值班制，需夜间外出开展执勤工作,行政执法类职位,1,本科以上,学士、硕士,水利工程(A0815),水利类(B0812),,否,,广州
广州市海珠区人民政府南洲街道办事处,6010115,综合行政执法队四级主办以下,60101152560002 ,从事基层一线综合行政执法工作，实行24小时值班制，需夜间外出开展执勤工作,行政执法类职位,1,本科以上,学士、硕士,安全科学与工程(A0837),安全科学与工程类(B0830),,否,,广州
广州市海珠区人民政府南洲街道办事处,6010115,综合行政执法队四级主办以下,60101152560003 ,"从事基层一线综合行政执法工作;实行24小时值班制，需夜间外出开展执勤,适合男性",行政执法类职位,1,本科以上,学士、硕士,环境科学与工程(A0830),环境科学与工程类(B0826),,否,,广州
广州市海珠区人民政府南洲街道办事处,6010115,综合行政执法队四级主办以下,60101152560004 ,"从事基层一线综合行政执法工作;实行24小时值班制，需夜间外出开展执勤,适合男性",行政执法类职位,1,本科以上,学士、硕士,"统计学（部分）(A020208),统计学(A0714)",统计学类(B0711),,应届毕业生,,广州
广州市荔湾区人民政府金花街道办事处,6010151,二级主任科员以下,60101512559001 ,从事街道党务、综合行政管理工作,综合管理类职位,1,本科以上,学士以上,工学(A08),工学(B08),,应届毕业生,中共党员,广州
广州市荔湾区人民政府金花街道办事处,6010151,综合行政执法队二级主办以下,60101512560001 ,"从事城市综合行政执法等工作;基层一线执法岗位,适合男性",行政执法类职位,1,本科以上,学士以上,"公安学(A0306),建筑学(A0813),土木工程(A0814)","公安学类(B0306),建筑类(B0810),土木类(B0811)",,否,,广州
广州市荔湾区人民政府金花街道办事处,6010151,综合行政执法队二级主办以下,60101512560002 ,从事城市综合行政执法等工作,行政执法类职位,1,本科以上,学士以上,不限,不限,,否,,广州
广州市荔湾区人民政府西村街道办事处,6010152,综合行政执法队一级行政执法员,60101522560001 ,从事法制审核、综合执法工作；基层一线执法，需夜间外出执勤及24小时值班工作,行政执法类职位,1,本科,学士,,法学类(B0301),,否,通过法律职业资格考试,广州
广州市荔湾区人民政府南源街道办事处,6010153,综合行政执法队一级行政执法员,60101532560001 ,从事城市执法相关工作,行政执法类职位,1,本科,学士,,"生物科学类(B0710),土木类(B0811),生物工程类(B0829)",,否,,广州
