广东省监狱、戒毒管理机关2025年考试录用公务员（人民警察）职位表,,,,,,,,,,,,,,,
招考单位,单位代码,招考职位,职位代码,职位简介,录用人数,学历,学位,"研究生专业
名称及代码","本科专业
名称及代码","大专专业
名称及代码",是否要求2年以上基层工作经历,是否开展心理素质测评,是否限应届毕业生报考,其他要求,考区
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554048 ,从事女性服刑人员管理和教育改造工作,1,本科以上,学士以上,安全科学与工程(A0837),"安全科学与工程类(B0830),消防工程(B083102),安全防范工程(B083104)",,否,否,否,女性,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554049 ,从事女性服刑人员管理和教育改造工作,2,本科以上,学士以上,"审计硕士（专业硕士）(A020218),会计学(A120201),会计硕士（专业硕士）(A120206)","会计学(B120203),财务管理(B120204),审计学(B120207)",,否,否,否,女性,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554050 ,从事女性服刑人员管理和教育改造工作,1,本科以上,学士以上,"统计学（部分）(A020208),应用统计硕士（专业硕士）(A020213)",统计学类(B0711),,否,否,否,女性,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554051 ,从事女性服刑人员管理和教育改造工作,2,本科以上,学士以上,应用经济学(A0202),"经济学类(B0201),财政学类(B0202)",,否,否,否,女性,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554052 ,从事女性服刑人员管理和教育改造工作,2,本科以上,学士以上,"建筑学(A0813),土木工程(A0814),测绘科学与技术(A0816),环境科学与工程(A0830),土木工程硕士（专业硕士）(A084401),林学(A0912)","建筑类(B0810),土木类(B0811),测绘类(B0813),环境科学与工程类(B0826),林学类(B0905)",,否,否,否,女性,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554053 ,从事女性服刑人员管理和教育改造工作,2,本科以上,学士以上,中国语言文学(A0501),中国语言文学类(B0501),,否,否,否,女性,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554054 ,从事女性服刑人员管理和教育改造工作,1,本科以上,学士以上,新闻传播学(A0503),新闻传播学类(B0503),,否,否,否,女性,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554055 ,从事女性服刑人员管理和教育改造工作,4,本科以上,学士以上,工商管理(A1202),工商管理类(B1202),,否,否,否,女性,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554056 ,从事女性服刑人员管理和教育改造工作,1,本科以上,学士以上,公共管理(A1204),公共管理类(B1204),,否,否,否,女性,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554057 ,从事女性服刑人员管理和教育改造工作,1,本科以上,学士以上,图书情报与档案管理(A1205),图书情报与档案管理类(B1205),,否,否,否,女性,肇庆
