广东省各级人民检察院2025年考试录用公务员职位表,,,,,,,,,,,,,,,
招考单位,单位代码,招考职位,职位代码,职位简介,职位类型,录用人数,学历,学位,"研究生专业
名称及代码","本科专业
名称及代码","大专专业
名称及代码",是否要求2年以上基层工作经历,是否限应届毕业生报考,其他要求,考区
深圳市人民检察院,4020001,司法行政部门二级警长以下,40200012553001 ,从事司法警察工作,检察院司法警察职位,1,本科以上,学士以上,法学(A0301),"法学(B030101),纪检监察(B030108)",,否,应届毕业生,女性,深圳
深圳市福田区人民检察院,4020002,检察业务部门五级检察官助理,40200022551001 ,从事检察相关业务工作,检察院检察官助理职位,3,本科以上,学士以上,法学(A0301),法学类(B0301),,否,2025届高校毕业生,男性;通过法律职业资格考试;普通高等院校毕业生（非在职）,深圳
深圳市福田区人民检察院,4020002,检察业务部门五级检察官助理,40200022551002 ,从事检察相关业务工作,检察院检察官助理职位,3,本科以上,学士以上,法学(A0301),法学类(B0301),,否,2025届高校毕业生,女性;通过法律职业资格考试;普通高等院校毕业生（非在职）,深圳
深圳市福田区人民检察院,4020002,司法行政部门一级科员,40200022552001 ,从事检察技术保障工作,检察院司法行政职位,1,本科以上,学士以上,计算机科学与技术(A0812),计算机类(B0809),,否,应届毕业生,,深圳
深圳市福田区人民检察院,4020002,司法行政部门一级科员,40200022552002 ,从事组织人事、综合文稿、党务等综合行政工作,检察院司法行政职位,1,本科以上,学士以上,"政治学(A0302),中国语言文学(A0501)","政治学与行政学(B030201),汉语言文学(B050101)",,否,应届毕业生,男性;中共党员,深圳
深圳市福田区人民检察院,4020002,司法行政部门一级科员,40200022552003 ,从事组织人事、综合文稿、党务等综合行政工作,检察院司法行政职位,1,本科以上,学士以上,"政治学(A0302),中国语言文学(A0501)","政治学与行政学(B030201),汉语言文学(B050101)",,否,应届毕业生,女性;中共党员,深圳
深圳市罗湖区人民检察院,4020003,检察业务部门五级检察官助理,40200032551001 ,从事检察相关业务工作,检察院检察官助理职位,2,本科以上,学士以上,法学(A0301),法学类(B0301),,否,2025届高校毕业生,"男性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",深圳
深圳市罗湖区人民检察院,4020003,检察业务部门五级检察官助理,40200032551002 ,从事检察相关业务工作,检察院检察官助理职位,2,本科以上,学士以上,法学(A0301),法学类(B0301),,否,2025届高校毕业生,"女性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",深圳
深圳市罗湖区人民检察院,4020003,司法行政部门一级科员,40200032552001 ,从事财务相关工作,检察院司法行政职位,1,本科以上,学士以上,"审计硕士（专业硕士）(A020218),会计学(A120201),企业管理（含：财务管理、市场营销、人力资源管理）(A120202),会计硕士（专业硕士）(A120206)","会计学(B120203),财务管理(B120204),审计学(B120207)",,否,否,企业管理（限：财务管理）（A120202）,深圳
深圳市宝安区人民检察院,4020006,检察业务部门五级检察官助理,40200062551001 ,从事检察相关业务工作,检察院检察官助理职位,2,本科以上,学士以上,法学(A0301),法学类(B0301),,否,2025届高校毕业生,"男性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",深圳
深圳市宝安区人民检察院,4020006,检察业务部门五级检察官助理,40200062551002 ,从事检察相关业务工作,检察院检察官助理职位,2,本科以上,学士以上,法学(A0301),法学类(B0301),,否,应届毕业生,"男性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",深圳
深圳市宝安区人民检察院,4020006,检察业务部门五级检察官助理,40200062551003 ,从事检察相关业务工作,检察院检察官助理职位,2,本科以上,学士以上,法学(A0301),法学类(B0301),,否,2025届高校毕业生,"女性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",深圳
深圳市宝安区人民检察院,4020006,检察业务部门五级检察官助理,40200062551004 ,从事检察相关业务工作,检察院检察官助理职位,2,本科以上,学士以上,法学(A0301),法学类(B0301),,否,应届毕业生,"女性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",深圳
深圳市宝安区人民检察院,4020006,司法行政部门一级科员,40200062552001 ,从事财务相关工作,检察院司法行政职位,1,本科以上,学士以上,"会计学(A120201),企业管理（含：财务管理、市场营销、人力资源管理）(A120202),会计硕士（专业硕士）(A120206)","会计学(B120203),财务管理(B120204)",,否,否,企业管理（限：财务管理）（A120202）,深圳
深圳市宝安区人民检察院,4020006,司法行政部门一级科员,40200062552002 ,从事法医鉴定等工作,检察院司法行政职位,1,本科以上,学士以上,法医学(A100105),法医学类(B1002),,否,否,,深圳
深圳市宝安区人民检察院,4020006,司法行政部门一级警员,40200062553001 ,从事司法警察工作,检察院司法警察职位,1,本科以上,学士以上,法学(A0301),法学类(B0301),,否,2025届高校毕业生,男性,深圳
深圳前海蛇口自贸区人民检察院,4020008,检察业务部门二级检察官助理以下,40200082551001 ,从事检察相关业务工作,检察院检察官助理职位,1,研究生,硕士以上,"刑法学(A030104),民商法学（含：劳动法学、社会保障法学）(A030105),诉讼法学(A030106),环境与资源保护法学(A030108),国际法学（含：国际公法、国际私法、国际经济法）(A030109)",,,否,2025届高校毕业生,男性;通过法律职业资格考试;普通高等院校毕业生（非在职）,深圳
深圳前海蛇口自贸区人民检察院,4020008,检察业务部门二级检察官助理以下,40200082551002 ,从事检察相关业务工作,检察院检察官助理职位,1,研究生,硕士以上,"刑法学(A030104),民商法学（含：劳动法学、社会保障法学）(A030105),诉讼法学(A030106),环境与资源保护法学(A030108),国际法学（含：国际公法、国际私法、国际经济法）(A030109)",,,否,2025届高校毕业生,女性;通过法律职业资格考试;普通高等院校毕业生（非在职）,深圳
深圳前海蛇口自贸区人民检察院,4020008,司法行政部门二级主任科员以下,40200082552001 ,从事检察技术保障工作,检察院司法行政职位,1,研究生,硕士以上,"信息与通信工程(A0810),计算机科学与技术(A0812)",,,否,否,,深圳
深圳前海蛇口自贸区人民检察院,4020008,司法行政部门二级警长以下,40200082553001 ,从事司法警察工作,检察院司法警察职位,1,本科以上,学士以上,"法学(A0301),公安学(A0306)","法学类(B0301),公安学类(B0306)",,否,否,男性,深圳
深圳市坪山区人民检察院,4020009,检察业务部门五级检察官助理,40200092551001 ,从事检察相关业务工作,检察院检察官助理职位,2,本科以上,学士以上,"刑法学(A030104),法律（法学）(A030112)","法学(B030101),知识产权(B030102)",,否,应届毕业生,"通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",深圳
深圳市坪山区人民检察院,4020009,检察业务部门四级检察官助理,40200092551002 ,从事检察相关业务工作,检察院检察官助理职位,1,研究生,硕士以上,"宪法学与行政法学(A030103),刑法学(A030104),法律（法学）(A030112)",,,否,应届毕业生,"男性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 本科须为法学专业且获法学学士学位",深圳
深圳市坪山区人民检察院,4020009,检察业务部门四级检察官助理,40200092551003 ,从事检察相关业务工作,检察院检察官助理职位,1,研究生,硕士以上,"宪法学与行政法学(A030103),刑法学(A030104),法律（法学）(A030112)",,,否,应届毕业生,"女性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 本科须为法学专业且获法学学士学位",深圳
深圳市坪山区人民检察院,4020009,司法行政部门一级警员,40200092553001 ,从事司法警察工作,检察院司法警察职位,1,本科以上,学士以上,公安学(A0306),"侦查学(B030602),经济犯罪侦查(B030606)",,否,否,男性,深圳
深圳市光明区人民检察院,4020010,检察业务部门五级检察官助理,40200102551001 ,从事检察相关业务工作,检察院检察官助理职位,2,本科以上,学士以上,"法学理论(A030101),法律史(A030102),宪法学与行政法学(A030103),刑法学(A030104),民商法学（含：劳动法学、社会保障法学）(A030105),诉讼法学(A030106),经济法学(A030107),环境与资源保护法学(A030108),国际法学（含：国际公法、国际私法、国际经济法）(A030109)","法学(B030101),知识产权(B030102)",,否,2025届高校毕业生,男性;通过法律职业资格考试;普通高等院校毕业生（非在职）,深圳
深圳市光明区人民检察院,4020010,检察业务部门五级检察官助理,40200102551002 ,从事检察相关业务工作,检察院检察官助理职位,2,本科以上,学士以上,"法学理论(A030101),法律史(A030102),宪法学与行政法学(A030103),刑法学(A030104),民商法学（含：劳动法学、社会保障法学）(A030105),诉讼法学(A030106),经济法学(A030107),环境与资源保护法学(A030108),国际法学（含：国际公法、国际私法、国际经济法）(A030109)","法学(B030101),知识产权(B030102)",,否,2025届高校毕业生,女性;通过法律职业资格考试;普通高等院校毕业生（非在职）,深圳
