附件1,,,,,,,,,,,,,,,
广东省县级以上机关2025年考试录用公务员职位表（不含公安、法检、监狱、戒毒系统）,,,,,,,,,,,,,,,
招考单位,单位代码,招考职位,职位代码,职位简介,职位类型,录用人数,学历,学位,"研究生专业
名称及代码","本科专业
名称及代码","大专专业
名称及代码",是否要求2年以上基层工作经历,是否限应届毕业生报考,其他要求,考区
广东省人力资源和社会保障厅,1990052,机关一级主任科员以下,19900522541001 ,从事人力资源社会保障相关工作,综合管理类职位,1,研究生,硕士以上,"财政学（含∶税收学）(A020203),统计学（部分）(A020208),经济法学(A030107)",,,是,否,,广州
广东省人力资源和社会保障厅,1990052,机关一级主任科员以下,19900522541002 ,从事人力资源社会保障相关工作,综合管理类职位,1,研究生,硕士以上,"劳动经济学(A020207),经济法学(A030107),法律（法学）(A030112)",,,是,否,,广州
广东省人力资源和社会保障厅,1990052,机关一级主任科员以下,19900522541003 ,从事人力资源社会保障相关工作,综合管理类职位,1,研究生,硕士以上,"精算学(A020211),保险硕士（专业硕士）(A020216),临床医学(A1002),公共卫生硕士（专业硕士）(A100407),社会医学与卫生事业管理(A120402),社会保障(A120404)",,,是,否,,广州
广东省人力资源和社会保障厅,1990052,广东省社会保险基金管理局一级主任科员以下,19900522541004 ,从事社保经办宣传推广工作,综合管理类职位,1,研究生,硕士以上,"新闻学(A050301),新闻与传播硕士（专业硕士）(A050303)",,,否,否,,广州
广东省人力资源和社会保障厅,1990052,广东省社会保险基金管理局一级主任科员以下,19900522541005 ,从事文秘综合工作,综合管理类职位,1,研究生,硕士以上,"语言学及应用语言学(A050102),汉语言文字学(A050103)",,,否,否,,广州
广东省人力资源和社会保障厅,1990052,广东省社会保险基金管理局一级主任科员以下,19900522541006 ,从事社保基金运行精算分析工作,综合管理类职位,1,研究生,硕士以上,"精算学(A020211),应用统计硕士（专业硕士）(A020213)",,,否,否,,广州
广东省人力资源和社会保障厅,1990052,广东省社会保险基金管理局一级主任科员以下,19900522541007 ,从事社保数据应用开发工作,综合管理类职位,1,研究生,硕士以上,"人工智能硕士（专业硕士）(A084010),大数据技术与工程硕士（专业硕士）(A084011)",,,否,否,,广州
广东省人力资源和社会保障厅,1990052,广东省社会保险基金管理局一级主任科员以下,19900522541008 ,从事社保经办法律事务工作,综合管理类职位,1,研究生,硕士以上,"民商法学（含：劳动法学、社会保障法学）(A030105),诉讼法学(A030106)",,,否,否,,广州
广东省人力资源和社会保障厅,1990052,广东省社会保险基金管理局一级主任科员以下,19900522541009 ,从事机关事业单位养老保险经办管理工作,综合管理类职位,1,研究生,硕士以上,"社会医学与卫生事业管理(A120402),社会保障(A120404)",,,否,否,,广州
广东省人力资源和社会保障厅,1990052,广东省社会保险基金管理局一级主任科员以下,19900522541010 ,从事年金基金投资运营经办管理工作,综合管理类职位,1,研究生,硕士以上,"金融学（含∶保险学）(A020204),数量经济学(A020209)",,,否,否,,广州
