广东省各级人民法院2025年考试录用公务员职位表,,,,,,,,,,,,,,,
招考单位,单位代码,招考职位,职位代码,职位简介,职位类型,录用人数,学历,学位,"研究生专业
名称及代码","本科专业
名称及代码","大专专业
名称及代码",是否要求2年以上基层工作经历,是否限应届毕业生报考,其他要求,考区
广州市黄埔区人民法院,3010007,人民法庭五级法官助理,30100072548005 ,从事审判辅助工作,法院法官助理职位,1,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,否,"男性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",广州
广州市黄埔区人民法院,3010007,人民法庭五级法官助理,30100072548006 ,从事审判辅助工作,法院法官助理职位,1,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,否,"女性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",广州
广州市黄埔区人民法院,3010007,司法警察大队一级警员,30100072550001 ,从事司法警察工作,法院司法警察职位,1,本科,学士,,"治安学(B030601),国内安全保卫(B030614),体育教育(B040201),运动训练(B040202)",,否,否,男性,广州
广州市花都区人民法院,3010008,审判业务庭四级法官助理,30100082548001 ,从事审判辅助工作,法院法官助理职位,1,研究生,硕士,"刑法学(A030104),民商法学（含：劳动法学、社会保障法学）(A030105),诉讼法学(A030106),经济法学(A030107)",,,否,2025届高校毕业生,"通过法律职业资格考试;普通高等院校毕业生（非在职）, 本科须为法学专业且获法学学士学位",广州
广州市番禺区人民法院,3010009,民事审判庭五级法官助理,30100092548001 ,从事民商事审判辅助工作,法院法官助理职位,2,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,否,男性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市番禺区人民法院,3010009,民事审判庭五级法官助理,30100092548002 ,从事民商事审判辅助工作,法院法官助理职位,2,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,否,女性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市番禺区人民法院,3010009,民事审判庭五级法官助理,30100092548003 ,从事民商事审判辅助工作,法院法官助理职位,1,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,2025届高校毕业生,男性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市番禺区人民法院,3010009,民事审判庭五级法官助理,30100092548004 ,从事民商事审判辅助工作,法院法官助理职位,1,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,2025届高校毕业生,女性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市番禺区人民法院,3010009,司法警察大队一级警员,30100092550001 ,从事押解、值庭、安全保卫等工作,法院司法警察职位,1,本科,学士,,公安学类(B0306),,否,否,男性,广州
广州市南沙区人民法院（广东自由贸易区南沙片区人民法院),3010010,综合审判庭（涉外审判庭）四级法官助理,30100102548001 ,从事民商事审判、涉外审判辅助工作,法院法官助理职位,1,研究生,硕士,"民商法学（含：劳动法学、社会保障法学）(A030105),经济法学(A030107),国际法学（含：国际公法、国际私法、国际经济法）(A030109)",,,否,否,"男性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 本科须为法学专业且获法学学士学位",广州
广州市南沙区人民法院（广东自由贸易区南沙片区人民法院),3010010,综合审判庭（涉外审判庭）四级法官助理,30100102548002 ,从事民商事审判、涉外审判辅助工作,法院法官助理职位,1,研究生,硕士,"民商法学（含：劳动法学、社会保障法学）(A030105),经济法学(A030107),国际法学（含：国际公法、国际私法、国际经济法）(A030109)",,,否,否,"女性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 本科须为法学专业且获法学学士学位",广州
